,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
0,1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24.0,2000,13.0,11.0,995.0,11.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.8,17.0,36.0,21.0,0.0,0.09,0.09,0.0,0.09,0.0,0.07,0.07,0.0,0.07,
1,2,Brenden Aaronson,us USA,MF,Union Berlin,de Bundesliga,23.0,2000,11.0,4.0,327.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.3,0.4,4.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,
2,3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,20.0,2003,7.0,1.0,101.0,1.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,5.0,7.0,0.0,0.89,0.89,0.0,0.89,0.11,0.07,0.19,0.11,0.19,
3,4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,36.0,1987,16.0,16.0,1440.0,16.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,2.2,2.2,0.2,2.4,23.0,74.0,4.0,0.19,0.0,0.19,0.19,0.19,0.14,0.01,0.15,0.14,0.15,
4,5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23.0,2000,17.0,14.0,1249.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.5,1.3,7.0,69.0,17.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1,
5,6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30.0,1993,17.0,17.0,1530.0,17.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.9,1.4,14.0,84.0,30.0,0.06,0.06,0.12,0.06,0.12,0.03,0.05,0.08,0.03,0.08,
6,7,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20.0,2003,10.0,5.0,420.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,1.5,2.2,6.0,6.0,39.0,0.21,0.0,0.21,0.21,0.21,0.17,0.31,0.48,0.17,0.48,
7,8,Abner,br BRA,DF,Betis,es La Liga,23.0,2000,13.0,9.0,882.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.4,8.0,18.0,46.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.04,0.01,0.04,
8,9,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23.0,2000,5.0,4.0,376.0,4.2,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,2.2,1.4,0.2,1.6,12.0,12.0,35.0,0.72,0.0,0.72,0.48,0.48,0.52,0.04,0.56,0.33,0.37,
9,10,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24.0,1999,14.0,14.0,1254.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.0,0.3,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,
